Party (partija),Candidate (kandidatas),Post Election No (numeris prieš rinkimus),Pre Election No (numeris po rinkimų)
Lietuvos Respublikos liberalų sąjūdis,Viktoras STRUPS,128,123
Lietuvos Respublikos liberalų sąjūdis,Diana ZVIEDRIENĖ,129,134
Lietuvos Respublikos liberalų sąjūdis,Gražina BAKEVIČIENĖ,130,82
Lietuvos Respublikos liberalų sąjūdis,Benediktas KRASNIAUSKAS,131,105
Lietuvos Respublikos liberalų sąjūdis,Gintaras KRAUJUTIS,132,125
Lietuvos Respublikos liberalų sąjūdis,Alikas MILKO,133,127
Lietuvos Respublikos liberalų sąjūdis,Ala DEKAN,134,94
Lietuvos Respublikos liberalų sąjūdis,Vytas LIUDŽIUS,135,104
Lietuvos Respublikos liberalų sąjūdis,Modestas KLIKNA,136,136
Lietuvos Respublikos liberalų sąjūdis,Paulius KIZERSKIS,137,115
Lietuvos Respublikos liberalų sąjūdis,Justinas Romualdas BABECKAS,138,108
Lietuvos Respublikos liberalų sąjūdis,Gytautas DAMIJONAITIS,139,118
Lietuvos Respublikos liberalų sąjūdis,Arvydas ŠMIGELSKIS,140,122
Lietuvos Respublikos liberalų sąjūdis,Gerardas Aidigintas JURKONIS,141,111
Lietuvos socialdemokratų partija,Algirdas BUTKEVIČIUS,1,1
Lietuvos socialdemokratų partija,Vilija BLINKEVIČIŪTĖ,2,2
Lietuvos socialdemokratų partija,Juozas OLEKAS,3,3
Lietuvos socialdemokratų partija,Vytenis Povilas ANDRIUKAITIS,4,5
Lietuvos socialdemokratų partija,Zigmantas BALČYTIS,5,7
Lietuvos socialdemokratų partija,Algirdas SYSAS,6,8
Lietuvos socialdemokratų partija,Birutė VĖSAITĖ,7,6
Lietuvos socialdemokratų partija,Algimantas SALAMAKINAS,8,24
Lietuvos socialdemokratų partija,Gediminas KIRKILAS,9,13
Lietuvos socialdemokratų partija,Marija Aušrinė PAVILIONIENĖ,10,12
Lietuvos socialdemokratų partija,Milda PETRAUSKIENĖ,11,4
Lietuvos socialdemokratų partija,Julius SABATAUSKAS,12,11
Lietuvos socialdemokratų partija,Edvardas ŽAKARIS,13,16
Lietuvos socialdemokratų partija,Juras POŽELA,14,9
Lietuvos socialdemokratų partija,Irena ŠIAULIENĖ,15,10
Lietuvos socialdemokratų partija,Valerijus SIMULIK,16,35
Lietuvos socialdemokratų partija,Rimantė ŠALAŠEVIČIŪTĖ,17,47
Lietuvos socialdemokratų partija,Benediktas JUODKA,18,14
Lietuvos socialdemokratų partija,Juozas BERNATONIS,19,17
Lietuvos socialdemokratų partija,Bronius BRADAUSKAS,20,22
Lietuvos socialdemokratų partija,Bronius PAUŽA,21,31
Lietuvos socialdemokratų partija,Edmundas JONYLA,22,34
Lietuvos socialdemokratų partija,Giedrė PURVANECKIENĖ,23,18
Lietuvos socialdemokratų partija,Eduardas ŠABLINSKAS,24,78
Lietuvos socialdemokratų partija,Antanas NESTECKIS,25,49
Lietuvos socialdemokratų partija,Arūnas DUDĖNAS,26,28
Lietuvos socialdemokratų partija,Albinas MITRULEVIČIUS,27,37
Lietuvos socialdemokratų partija,Rimantas SINKEVIČIUS,28,30
Lietuvos socialdemokratų partija,Orinta LEIPUTĖ,29,23
Lietuvos socialdemokratų partija,Gintautas MIKOLAITIS,30,59
Lietuvos socialdemokratų partija,Ona BABONIENĖ,31,42
Lietuvos socialdemokratų partija,Artūras ČERNIAUSKAS,32,25
Lietuvos socialdemokratų partija,Pranas PETROŠIUS,33,46
Lietuvos socialdemokratų partija,Justas PANKAUSKAS,34,20
Lietuvos socialdemokratų partija,Kristina MIŠKINIENĖ,35,40
Lietuvos socialdemokratų partija,Vydas BARAVYKAS,36,61
Lietuvos socialdemokratų partija,Sigita BURBIENĖ,37,15
Lietuvos socialdemokratų partija,Raminta POPOVIENĖ,38,56
Lietuvos socialdemokratų partija,Arvydas MOCKUS,39,103
Lietuvos socialdemokratų partija,Linas ANDRULIS,40,99
Lietuvos socialdemokratų partija,Mindaugas BASTYS,41,26
Lietuvos socialdemokratų partija,Antanas VALYS,42,19
Lietuvos socialdemokratų partija,Albinas EŽERSKIS,43,58
Lietuvos socialdemokratų partija,Darius PETROŠIUS,44,62
Lietuvos socialdemokratų partija,Rimantas VAITKUS,45,45
Lietuvos socialdemokratų partija,Faustas LATĖNAS,46,72
Lietuvos socialdemokratų partija,Jonas BUDREVIČIUS,47,33
Lietuvos socialdemokratų partija,Auksė KONTRIMIENĖ,48,21
Lietuvos socialdemokratų partija,Valerijonas KUBILIUS,49,76
Lietuvos socialdemokratų partija,Irena LUNSKIENĖ,50,50
Lietuvos socialdemokratų partija,Artūras SKARDŽIUS,51,84
Lietuvos socialdemokratų partija,Vilija VERTELIENĖ,52,36
Lietuvos socialdemokratų partija,Violeta BOREIKIENĖ,53,32
Lietuvos socialdemokratų partija,Marius SKARUPSKAS,54,141
Lietuvos socialdemokratų partija,Lilija PETRAITIENĖ,55,27
Lietuvos socialdemokratų partija,Algirdas BALČYTIS,56,90
Lietuvos socialdemokratų partija,Tatjana RINKEVIČIENĖ,57,44
Lietuvos socialdemokratų partija,Vytautas SAULIS,58,63
Lietuvos socialdemokratų partija,Vaclovas KARBAUSKIS,59,93
Lietuvos socialdemokratų partija,Arkadijus VINOKURAS,60,41
Lietuvos socialdemokratų partija,Povilas VADOPOLAS,61,81
Lietuvos socialdemokratų partija,Laima NAGIENĖ,62,57
Lietuvos socialdemokratų partija,Jūratė KULBERKIENĖ,63,29
Lietuvos socialdemokratų partija,Alma MONKAUSKAITĖ,64,52
Lietuvos socialdemokratų partija,Romas ADOMAVIČIUS,65,48
Lietuvos socialdemokratų partija,Jolanta BIELSKIENĖ,66,43
Lietuvos socialdemokratų partija,Dainius BUDRYS,67,83
Lietuvos socialdemokratų partija,Nikolaj MEDVEDEV,68,127
Lietuvos socialdemokratų partija,Alvydas VAICEKAUSKAS,69,67
Lietuvos socialdemokratų partija,Jonas JUOZAPAITIS,70,55
Lietuvos socialdemokratų partija,Genovaitė EŽERSKIENĖ,71,64
Lietuvos socialdemokratų partija,Domas PETRULIS,72,71
Lietuvos socialdemokratų partija,Lina KYBARTAITĖ,73,38
Lietuvos socialdemokratų partija,Asta KANDRATAVIČIENĖ,74,54
Lietuvos socialdemokratų partija,Ramūnas BUROKAS,75,130
Lietuvos socialdemokratų partija,Vytautas KLEIVA,76,70
Lietuvos socialdemokratų partija,Aleksandras ZELTINIS,77,116
Lietuvos socialdemokratų partija,Adas JAKUBAUSKAS,78,39
Lietuvos socialdemokratų partija,Danas PALUCKAS,79,66
Lietuvos socialdemokratų partija,Darius JASAITIS,80,133
Lietuvos socialdemokratų partija,Jonas JURKUS,81,75
Lietuvos socialdemokratų partija,Rima ŠIRVINSKIENĖ,82,69
Lietuvos socialdemokratų partija,Margarita JANKAUSKAITĖ,83,86
Lietuvos socialdemokratų partija,Vytautas VILYS,84,134
Lietuvos socialdemokratų partija,Zofija PAULIKIENĖ,85,68
Lietuvos socialdemokratų partija,Egidijus GAIDAMAVIČIUS,86,123
Lietuvos socialdemokratų partija,Alvydas ŽALA,87,73
Lietuvos socialdemokratų partija,Darius RAZMISLEVIČIUS,88,111
Lietuvos socialdemokratų partija,Romualdas RUDZYS,89,140
Lietuvos socialdemokratų partija,Algirdas MEŠKAUSKAS,90,131
Lietuvos socialdemokratų partija,Vilius CIBULSKAS,91,95
Lietuvos socialdemokratų partija,Arūnas EIMUTIS,92,137
Lietuvos socialdemokratų partija,Elena ČEKIENĖ,93,60
Lietuvos socialdemokratų partija,Steponas VAIČIKAUSKAS,94,96
Lietuvos socialdemokratų partija,Petras PAPOVAS,95,121
Lietuvos socialdemokratų partija,Alfonsas PULOKAS,96,87
Lietuvos socialdemokratų partija,Jūratė JUOZAITIENĖ,97,77
Lietuvos socialdemokratų partija,Nikolajus GUSEVAS,98,108
Lietuvos socialdemokratų partija,Vytautas RINKEVIČIUS,99,135
Lietuvos socialdemokratų partija,Janina GAIDŽIŪNAITĖ,100,85
Lietuvos socialdemokratų partija,Kazimieras ŠIMKUS,101,129
Lietuvos socialdemokratų partija,Asta JASIŪNIENĖ,102,65
Lietuvos socialdemokratų partija,Aloyzas KAŽDAILEVIČIUS,103,94
Lietuvos socialdemokratų partija,Mindaugas BALČIŪNAS,104,100
Lietuvos socialdemokratų partija,Almantas ŠTREIMIKIS,105,138
Lietuvos socialdemokratų partija,Vasilijus POPOVAS,106,119
Lietuvos socialdemokratų partija,Algirdas NAVICKAS,107,139
Lietuvos socialdemokratų partija,Arvydas VYŠNIAUSKAS,108,124
Lietuvos socialdemokratų partija,Bronislovas STASIULIS,109,105
Lietuvos socialdemokratų partija,Inesa KARSTEN,110,80
Lietuvos socialdemokratų partija,Rimantas ŠADŽIUS,111,79
Lietuvos socialdemokratų partija,Justinas SARTAUSKAS,112,125
Lietuvos socialdemokratų partija,Vaidotas LINKUS,113,136
Lietuvos socialdemokratų partija,Romualdas NEMANIUS,114,51
Lietuvos socialdemokratų partija,Klavdija STEPANOVA,115,102
Lietuvos socialdemokratų partija,Žaneta KLEBANSKAJA,116,53
Lietuvos socialdemokratų partija,Danutė Ona STATULEVIČIENĖ,117,82
Lietuvos socialdemokratų partija,Vygantas SUDARIS,118,113
Lietuvos socialdemokratų partija,Stasys BAJERČIUS,119,114
Lietuvos socialdemokratų partija,Eglė Daiva KANIKOVIENĖ,120,106
Lietuvos socialdemokratų partija,Kazimieras AUGULIS,121,128
Lietuvos socialdemokratų partija,Darius SKUSEVIČIUS,122,112
Lietuvos socialdemokratų partija,Sigitas DOBILINSKAS,123,122
Lietuvos socialdemokratų partija,Kęstutis VIRBICKAS,124,74
Lietuvos socialdemokratų partija,Jurgis JURKEVIČIUS,125,107
Lietuvos socialdemokratų partija,Vytautas BAKASĖNAS,126,115
Lietuvos socialdemokratų partija,Rasa PAJARSKIENĖ,127,88
Lietuvos socialdemokratų partija,Regina EITMONĖ,128,110
Lietuvos socialdemokratų partija,Nijolė VAITAVIČIENĖ,129,98
Lietuvos socialdemokratų partija,Kostas ARVASEVIČIUS,130,91
Lietuvos socialdemokratų partija,Stanislava CVIRKIENĖ,131,118
Lietuvos socialdemokratų partija,Linas JONAUSKAS,132,97
Lietuvos socialdemokratų partija,Violeta GEMBUTIENĖ,133,92
Lietuvos socialdemokratų partija,Lina BUDREIKAITĖ,134,104
Lietuvos socialdemokratų partija,Edmundas TIESNESIS,135,126
Lietuvos socialdemokratų partija,Aldona VORIENĖ,136,101
Lietuvos socialdemokratų partija,Eugenijus KOVALKOVAS,137,117
Lietuvos socialdemokratų partija,Emilis MISIULIS,138,120
Lietuvos socialdemokratų partija,Andrius JOZONIS,139,132
Lietuvos socialdemokratų partija,Loreta KUBILIŪNIENĖ,140,109
Lietuvos socialdemokratų partija,Jūratė JANUŠKIENĖ,141,89
Lietuvos valstiečių ir žaliųjų sąjunga,Ramūnas KARBAUSKIS,1,1
Lietuvos valstiečių ir žaliųjų sąjunga,Bronis ROPĖ,2,3
Lietuvos valstiečių ir žaliųjų sąjunga,Rima BAŠKIENĖ,3,4
Lietuvos valstiečių ir žaliųjų sąjunga,Albinas MORKŪNAS,4,2
Lietuvos valstiečių ir žaliųjų sąjunga,Dainius KEPENIS,5,14
Lietuvos valstiečių ir žaliųjų sąjunga,Juozas BERTAŠIUS,6,5
Lietuvos valstiečių ir žaliųjų sąjunga,Nijolė ŠATIENĖ,7,13
Lietuvos valstiečių ir žaliųjų sąjunga,Andriejus STANČIKAS,8,11
Lietuvos valstiečių ir žaliųjų sąjunga,Bronius MARKAUSKAS,9,15
Lietuvos valstiečių ir žaliųjų sąjunga,Juozas DAUTARTAS,10,6
Lietuvos valstiečių ir žaliųjų sąjunga,Pranciškus Alfredas ŠLIUŽAS,11,23
Lietuvos valstiečių ir žaliųjų sąjunga,Virginija VINGRIENĖ,12,10
Lietuvos valstiečių ir žaliųjų sąjunga,Povilas ŽAGUNIS,13,9
Lietuvos valstiečių ir žaliųjų sąjunga,Viktoras PRANCKIETIS,14,17
Lietuvos valstiečių ir žaliųjų sąjunga,Antanas BAURA,15,7
Lietuvos valstiečių ir žaliųjų sąjunga,Jonas JARUTIS,16,8
Lietuvos valstiečių ir žaliųjų sąjunga,Gema UMBRASIENĖ,17,20
Lietuvos valstiečių ir žaliųjų sąjunga,Algirdas KOPŪSTAS,18,16
Lietuvos valstiečių ir žaliųjų sąjunga,Kazimieras NAUSĖDA,19,27
Lietuvos valstiečių ir žaliųjų sąjunga,Tomas TOMILINAS,20,12
Lietuvos valstiečių ir žaliųjų sąjunga,Rima RAUKTIENĖ,21,24
Lietuvos valstiečių ir žaliųjų sąjunga,Romas MAJAUSKAS,22,25
Lietuvos valstiečių ir žaliųjų sąjunga,Antanas BEZARAS,23,31
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas ZURBA,24,32
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas MIKELIONIS,25,18
Lietuvos valstiečių ir žaliųjų sąjunga,Izidorius ŠIMKUS,26,101
Lietuvos valstiečių ir žaliųjų sąjunga,Marijona LUKAŠEVIČIENĖ,27,41
Lietuvos valstiečių ir žaliųjų sąjunga,Jonas VILIONIS,28,21
Lietuvos valstiečių ir žaliųjų sąjunga,Jonas POVILAITIS,29,33
Lietuvos valstiečių ir žaliųjų sąjunga,Vaidotas BUTKEVIČIUS,30,36
Lietuvos valstiečių ir žaliųjų sąjunga,Vidmantas PALIULIS,31,29
Lietuvos valstiečių ir žaliųjų sąjunga,Valius ĄŽUOLAS,32,59
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas VĖŽELIS,33,141
Lietuvos valstiečių ir žaliųjų sąjunga,Gipoldas KARKLELIS,34,66
Lietuvos valstiečių ir žaliųjų sąjunga,Juozas RIMKUS,35,77
Lietuvos valstiečių ir žaliųjų sąjunga,Rimantė MISIŪNIENĖ,36,35
Lietuvos valstiečių ir žaliųjų sąjunga,Benius RŪTELIONIS,37,19
Lietuvos valstiečių ir žaliųjų sąjunga,Kęstutis MAŽEIKA,38,43
Lietuvos valstiečių ir žaliųjų sąjunga,Laima ŠALKAUSKIENĖ,39,26
Lietuvos valstiečių ir žaliųjų sąjunga,Audrys ŠIMAS,40,40
Lietuvos valstiečių ir žaliųjų sąjunga,Remigijus VILYS,41,58
Lietuvos valstiečių ir žaliųjų sąjunga,Daiva RIBIKAUSKIENĖ,42,44
Lietuvos valstiečių ir žaliųjų sąjunga,Rita RAMANAUSKIENĖ,43,37
Lietuvos valstiečių ir žaliųjų sąjunga,Albertas BRAZAS,44,78
Lietuvos valstiečių ir žaliųjų sąjunga,Vaida KAVALIAUSKAITĖ,45,39
Lietuvos valstiečių ir žaliųjų sąjunga,Arūnas GRUBLIAUSKIS,46,56
Lietuvos valstiečių ir žaliųjų sąjunga,Gaila MATULYTĖ,47,47
Lietuvos valstiečių ir žaliųjų sąjunga,Danutė UŽKURĖLYTĖ,48,128
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas KAZLAUSKAS,49,140
Lietuvos valstiečių ir žaliųjų sąjunga,Bronislovas LIUTKUS,50,80
Lietuvos valstiečių ir žaliųjų sąjunga,Andrejus GAIDAMAVIČIUS,51,94
Lietuvos valstiečių ir žaliųjų sąjunga,Petras NEVULIS,52,60
Lietuvos valstiečių ir žaliųjų sąjunga,Aušrinė NORKIENĖ,53,97
Lietuvos valstiečių ir žaliųjų sąjunga,Genovaitė KIMBRIENĖ,54,64
Lietuvos valstiečių ir žaliųjų sąjunga,Kazys SIVICKIS,55,28
Lietuvos valstiečių ir žaliųjų sąjunga,Rolandas RUTĖ,56,62
Lietuvos valstiečių ir žaliųjų sąjunga,Julija JUŠKIENĖ,57,65
Lietuvos valstiečių ir žaliųjų sąjunga,Tomas KAŽEMĖKAS,58,38
Lietuvos valstiečių ir žaliųjų sąjunga,Jonas SALDUKAITIS,59,22
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas RAKICKAS,60,46
Lietuvos valstiečių ir žaliųjų sąjunga,Aringas PAČEŠIŪNAS,61,45
Lietuvos valstiečių ir žaliųjų sąjunga,Gintaris PETRĖNAS,62,81
Lietuvos valstiečių ir žaliųjų sąjunga,Juozas SAUSPREŠKIS,63,139
Lietuvos valstiečių ir žaliųjų sąjunga,Valė MACIJAUSKIENĖ,64,53
Lietuvos valstiečių ir žaliųjų sąjunga,Martynas RUSTEIKA,65,63
Lietuvos valstiečių ir žaliųjų sąjunga,Česlav JAKOVIČ,66,30
Lietuvos valstiečių ir žaliųjų sąjunga,Virgilijus POZINGIS,67,48
Lietuvos valstiečių ir žaliųjų sąjunga,Dalius ČAPAITIS,68,52
Lietuvos valstiečių ir žaliųjų sąjunga,Valdas JUŠKEVIČIUS,69,50
Lietuvos valstiečių ir žaliųjų sąjunga,Teresė JANKAUSKIENĖ,70,79
Lietuvos valstiečių ir žaliųjų sąjunga,Gediminas GRYBĖ,71,96
Lietuvos valstiečių ir žaliųjų sąjunga,Algimantas ČEPONIS,72,135
Lietuvos valstiečių ir žaliųjų sąjunga,Marijus KAKTYS,73,91
Lietuvos valstiečių ir žaliųjų sąjunga,Ernestas LUČAUSKAS,74,34
Lietuvos valstiečių ir žaliųjų sąjunga,Valdas ŽIČKA,75,55
Lietuvos valstiečių ir žaliųjų sąjunga,Andrius MULEVIČIUS,76,102
Lietuvos valstiečių ir žaliųjų sąjunga,Raimonda SUTKAITIENĖ,77,57
Lietuvos valstiečių ir žaliųjų sąjunga,Arminas MOCKEVIČIUS,78,121
Lietuvos valstiečių ir žaliųjų sąjunga,Elida DUBINSKYTĖ-ŠIMAITĖ,79,89
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas RASTENIS,80,74
Lietuvos valstiečių ir žaliųjų sąjunga,Juozas RAUDONIUS,81,138
Lietuvos valstiečių ir žaliųjų sąjunga,Mantas ŠAKOČIUS,82,49
Lietuvos valstiečių ir žaliųjų sąjunga,Pranciškus ZARAMBA,83,75
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas SLABYS,84,125
Lietuvos valstiečių ir žaliųjų sąjunga,Audrius ŠEŠTOKAS,85,51
Lietuvos valstiečių ir žaliųjų sąjunga,Skaidrutė ŽUVELAITIENĖ,86,67
Lietuvos valstiečių ir žaliųjų sąjunga,Lina NEMEIKŠIENĖ,87,126
Lietuvos valstiečių ir žaliųjų sąjunga,Adomas STATKUS,88,105
Lietuvos valstiečių ir žaliųjų sąjunga,Elena MIRINAVIČIENĖ,89,83
Lietuvos valstiečių ir žaliųjų sąjunga,Paulius VISACKAS,90,76
Lietuvos valstiečių ir žaliųjų sąjunga,Jolita BIELSKIENĖ,91,87
Lietuvos valstiečių ir žaliųjų sąjunga,Apolinaras STONKUS,92,119
Lietuvos valstiečių ir žaliųjų sąjunga,Marijonas MITKUS,93,61
Lietuvos valstiečių ir žaliųjų sąjunga,Linas LAZAUSKAS,94,99
Lietuvos valstiečių ir žaliųjų sąjunga,Kazys VIRŠILAS,95,100
Lietuvos valstiečių ir žaliųjų sąjunga,Juozas STEPONAVIČIUS,96,86
Lietuvos valstiečių ir žaliųjų sąjunga,Jūratė JOVAIŠIENĖ,97,70
Lietuvos valstiečių ir žaliųjų sąjunga,Remigijus KELNERIS,98,120
Lietuvos valstiečių ir žaliųjų sąjunga,Dalius JANKAUSKAS,99,54
Lietuvos valstiečių ir žaliųjų sąjunga,Juozas VARNELIS,100,71
Lietuvos valstiečių ir žaliųjų sąjunga,Mindaugas ALIŠAUSKAS,101,118
Lietuvos valstiečių ir žaliųjų sąjunga,Laimutė JANČIUKIENĖ,102,92
Lietuvos valstiečių ir žaliųjų sąjunga,Odeta KRASAUSKIENĖ,103,134
Lietuvos valstiečių ir žaliųjų sąjunga,Zita RAMOŠKIENĖ,104,69
Lietuvos valstiečių ir žaliųjų sąjunga,Arvydas SUODIS,105,137
Lietuvos valstiečių ir žaliųjų sąjunga,Jūratė TRUNCIENĖ,106,84
Lietuvos valstiečių ir žaliųjų sąjunga,Gerda VILIMAITĖ,107,108
Lietuvos valstiečių ir žaliųjų sąjunga,Vaidas ZAKARAUSKAS,108,136
Lietuvos valstiečių ir žaliųjų sąjunga,Dovilė ŽIŽIENĖ,109,93
Lietuvos valstiečių ir žaliųjų sąjunga,Vladas VITAS,110,130
Lietuvos valstiečių ir žaliųjų sąjunga,Darius DAPKUS,111,133
Lietuvos valstiečių ir žaliųjų sąjunga,Živilė JANULEVIČIŪTĖ,112,72
Lietuvos valstiečių ir žaliųjų sąjunga,Valdas KAMAITIS,113,88
Lietuvos valstiečių ir žaliųjų sąjunga,Birutė KAKTYTĖ,114,103
Lietuvos valstiečių ir žaliųjų sąjunga,Rytis SALADINSKAS,115,85
Lietuvos valstiečių ir žaliųjų sąjunga,Aurimas Paulius GIRČYS,116,111
Lietuvos valstiečių ir žaliųjų sąjunga,Artūras RAULIČKIS,117,116
Lietuvos valstiečių ir žaliųjų sąjunga,Virginija APANAVIČIENĖ,118,73
Lietuvos valstiečių ir žaliųjų sąjunga,Vitalijus BALKUS,119,113
Lietuvos valstiečių ir žaliųjų sąjunga,Alvydas ŽUVININKAS,120,132
Lietuvos valstiečių ir žaliųjų sąjunga,Robertas KVIETKAUSKAS,121,68
Lietuvos valstiečių ir žaliųjų sąjunga,Haroldas SANIUKAS,122,98
Lietuvos valstiečių ir žaliųjų sąjunga,Justinas NAVIKAS,123,110
Lietuvos valstiečių ir žaliųjų sąjunga,Jonas KANAVOLAS,124,123
Lietuvos valstiečių ir žaliųjų sąjunga,Vidas KANIŠAUSKAS,125,82
Lietuvos valstiečių ir žaliųjų sąjunga,Mantas FELNERIS,126,90
Lietuvos valstiečių ir žaliųjų sąjunga,Renatas BERNIKAS,127,127
Lietuvos valstiečių ir žaliųjų sąjunga,Tomas MONTVILA,128,107
Lietuvos valstiečių ir žaliųjų sąjunga,Valdas VAITIŠKIS,129,114
Lietuvos valstiečių ir žaliųjų sąjunga,Arūnas JOKUBAUSKAS,130,115
Lietuvos valstiečių ir žaliųjų sąjunga,Orinta JAZDAUSKAITĖ,131,106
Lietuvos valstiečių ir žaliųjų sąjunga,Juzef TOMAŠEVIČ-JAKOVIČ,132,42
Lietuvos valstiečių ir žaliųjų sąjunga,Jonas SIMINKEVIČIUS,133,109
Lietuvos valstiečių ir žaliųjų sąjunga,Remigijus ZELVARAS,134,112
Lietuvos valstiečių ir žaliųjų sąjunga,Remigijus PELENIS,135,117
Lietuvos valstiečių ir žaliųjų sąjunga,Oksana ROKAŠEVIČ,136,104
Lietuvos valstiečių ir žaliųjų sąjunga,Loreta DRANŽILAUSKIENĖ,137,95
Lietuvos valstiečių ir žaliųjų sąjunga,Remigijus PUPLAUSKAS,138,122
Lietuvos valstiečių ir žaliųjų sąjunga,Vytautas VALEVIČIUS,139,124
Lietuvos valstiečių ir žaliųjų sąjunga,Algimantas JARUKAITIS,140,129
Lietuvos valstiečių ir žaliųjų sąjunga,Gintautas MIELEIKA,141,131
Lietuvos žmonių partija,Vladimir ROMANOV,1,1
Lietuvos žmonių partija,Joana ŠIMANAUSKIENĖ,2,2
Lietuvos žmonių partija,Vitoldas MASALSKIS,3,3
Lietuvos žmonių partija,Rimantas KAUKĖNAS,4,5
Lietuvos žmonių partija,Anatolijus ČUPKOVAS,5,4
Lietuvos žmonių partija,Darjuš LAVRINOVIČ,6,9
Lietuvos žmonių partija,Kšištof LAVRINOVIČ,7,11
Lietuvos žmonių partija,Vytautas Aleksas LAZINKA,8,12
Lietuvos žmonių partija,Andrius KANDELIS,9,6
Lietuvos žmonių partija,Indrė JANKAUSKIENĖ,10,17
Lietuvos žmonių partija,Petras VEŽBAVIČIUS,11,7
Lietuvos žmonių partija,Robertas PRANCKŪNAS,12,15
Lietuvos žmonių partija,Algimanta ŠČIGLINSKIENĖ,13,13
Lietuvos žmonių partija,Sigitas VAIŠNORAS,14,18
Lietuvos žmonių partija,Algimantas PAUKŠTAITIS,15,8
Lietuvos žmonių partija,Vainius ARLAUSKAS,16,61
Lietuvos žmonių partija,Ala GUSEVA,17,10
Lietuvos žmonių partija,Jonas ŠČEPONIS,18,14
Lietuvos žmonių partija,Jolita TUROVAITĖ KAIRIENĖ,19,16
Lietuvos žmonių partija,Giedrius GRIGALIUS,20,19
Lietuvos žmonių partija,Algirdas KAZILIONIS,21,20
Lietuvos žmonių partija,Irina BUDAJEVA,22,21
Lietuvos žmonių partija,Vilhelmas MOTIEJŪNAS,23,22
Lietuvos žmonių partija,Robertas KASPEROVIČIUS,24,23
Lietuvos žmonių partija,Farit NUGUMANOV,25,24
Lietuvos žmonių partija,Angelina LABANAUSKIENĖ,26,25
Lietuvos žmonių partija,Vaclovas MACIJAUSKAS,27,26
Lietuvos žmonių partija,Vladimiras KORNIJEVSKIS,28,27
Lietuvos žmonių partija,Liana GUDAUSKIENĖ,29,28
Lietuvos žmonių partija,Remigijus SABALIAUSKAS,30,29
Lietuvos žmonių partija,Valdas VARNAS,31,31
Lietuvos žmonių partija,Emilis MIKELĖNAS,32,33
Lietuvos žmonių partija,Gitana BEDULSKIENĖ,33,34
Lietuvos žmonių partija,Rita ŠERNIENĖ,34,35
Lietuvos žmonių partija,Saulius BAGDONAS,35,36
Lietuvos žmonių partija,Karolis VAIČIŪNAS,36,37
Lietuvos žmonių partija,Tadeuš MICHNEVIČ,37,38
Lietuvos žmonių partija,Kęstutis VASILKOVAS,38,39
Lietuvos žmonių partija,Ilona ČIRVINSKAITĖ,39,40
Lietuvos žmonių partija,Olga SAVICKAJA,40,41
Lietuvos žmonių partija,Darius KEPEŽINSKAS,41,42
Lietuvos žmonių partija,Kristina NEMANIENĖ,42,43
Lietuvos žmonių partija,Marijus ČIUČIULKA,43,44
Lietuvos žmonių partija,Dainius REKEVIČIUS,44,45
Lietuvos žmonių partija,Adrijus BRUSOKAS,45,46
Lietuvos žmonių partija,Samanta REMEIKIENĖ,46,47
Lietuvos žmonių partija,Vadim DAVYDOV,47,48
Lietuvos žmonių partija,Edita ZAGURSKIENĖ,48,49
Lietuvos žmonių partija,Vladas ADŽGAUSKAS,49,50
Lietuvos žmonių partija,Emilija PALUBINSKIENĖ,50,51
Lietuvos žmonių partija,Kristina LEONAVIČIENĖ,51,52
Lietuvos žmonių partija,Jurij BURSOV,52,53
Lietuvos žmonių partija,Dionizas DIRŽAUSKAS,53,54
Lietuvos žmonių partija,Leonid BONDARENKO,54,55
Lietuvos žmonių partija,Vidmantas ŽEMAITIS,55,56
Lietuvos žmonių partija,Gintarė BITYTĖ,56,57
Lietuvos žmonių partija,Andrej JERONKO,57,58
Lietuvos žmonių partija,Valerij DALECKIJ,58,59
Lietuvos žmonių partija,Viačeslav KAŠPOR,59,60
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""",Gintaras SONGAILA,1,4
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""",Alvydas MEDALINSKAS,2,2
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""",Birutė VALIONYTĖ,3,1
"""Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)""",Kazimieras UOKA,4,7
