Number of voters (balsuotojų skaičius),Distirct No (apylinkės nr.),Turnouts (balsų skaičius),Valid ballot papers (galiojančių biuletenių skaičius),Invalid ballot papers percent (negaliojančių biuletenių procentas),Distirct (apylinkė),Turnouts percent (balsavusiųjų procentas),Invalid ballot papers (negaliojančių biuletenių skaičius),Valid ballot papers percent (galiojančių biuletenių procentas)
330,,164,158,3.66,Seiliūnų,49.7,6,96.34
1291,1,792,760,4.04,Seirijų,61.35,32,95.96
361,2,193,187,3.11,Stebulių,53.46,6,96.89
1040,3,475,445,6.32,Šeštokų,45.67,30,93.68
907,9,512,492,3.91,Pakuonio,56.45,20,96.09
229,,103,101,1.94,Purvininkų,44.98,2,98.06
713,1,409,385,5.87,Vyšniūnų,57.36,24,94.13
359,2,190,175,7.89,Užuguosčio,52.92,15,92.11
523,3,178,168,5.62,Pieštuvėnų,34.03,10,94.38
817,4,398,373,6.28,Stakliškių,48.71,25,93.72
504,7,274,269,1.82,Panovių,54.37,5,98.18
2394,8,1090,1029,5.6,Gelgaudiškio,45.53,61,94.4
834,9,405,394,2.72,Plokščių,48.56,11,97.28
888,,482,458,4.98,Griškabūdžio,54.28,24,95.02
324,1,162,157,3.09,Degutinės,50.0,5,96.91
539,2,243,231,4.94,Patašinės,45.08,12,95.06
480,3,272,266,2.21,Paluobių,56.67,6,97.79
1572,6,803,768,4.36,Kidulių,51.08,35,95.64
1249,1,661,638,3.48,Kazlų Rūdos,52.92,23,96.52
1795,1,909,852,6.27,Kalvarijos Vakarinė,50.64,57,93.73
2062,2,1038,967,6.84,Pušų,50.34,71,93.16
1826,2,872,825,5.39,Kalvarijos Rytinė,47.75,47,94.61
1521,3,773,719,6.99,Mindaugo,50.82,54,93.01
814,4,420,406,3.33,Šventežerio,51.6,14,96.67
533,5,286,265,7.34,Teizų,53.66,21,92.66
372,6,202,195,3.47,Verstaminų,54.3,7,96.53
2001,7,1073,1024,4.57,Veisiejų,53.62,49,95.43
341,8,182,173,4.95,Viktarinos,53.37,9,95.05
269,9,152,147,3.29,Žagarių,56.51,5,96.71
521,7,231,222,3.9,Voverių,44.34,9,96.1
828,9,375,357,4.8,Sudargo,45.29,18,95.2
969,,439,418,4.78,Kriūkų,45.3,21,95.22
699,1,329,315,4.26,Gerdžiūnų,47.07,14,95.74
1017,2,515,494,4.08,Lekėčių,50.64,21,95.92
374,3,184,180,2.17,Mikytų,49.2,4,97.83
451,3,204,194,4.9,Daržininkų,45.23,10,95.1
1141,3,518,496,4.25,Jungėnų,45.4,22,95.75
539,4,259,236,8.88,Liepų,48.05,23,91.12
344,4,142,139,2.11,Brukų,41.28,3,97.89
527,5,240,223,7.08,Bagotosios,45.54,17,92.92
280,5,146,145,0.68,Sūsninkų,52.14,1,99.32
324,6,142,137,3.52,Mockų,43.83,5,96.48
642,6,269,250,7.06,Antanavo,41.9,19,92.94
725,7,371,363,2.16,Jusevičių,51.17,8,97.84
345,3,168,160,4.76,Varnėnų,48.7,8,95.24
1612,4,765,733,4.18,Lukšių,47.46,32,95.82
642,5,312,299,4.17,Liepalotų,48.6,13,95.83
1148,5,450,431,4.22,Sūdavos,39.2,19,95.78
557,6,344,325,5.52,Sintautų,61.76,19,94.48
539,7,262,257,1.91,Veršių,48.61,5,98.09
397,8,184,176,4.35,Keturnaujienos,46.35,8,95.65
530,9,235,227,3.4,Žvirgždaičių,44.34,8,96.6
388,7,227,207,8.81,Višakio Rūdos,58.51,20,91.19
638,8,286,270,5.59,Jūrės,44.83,16,94.41
530,8,291,280,3.78,Sangrūdos,54.91,11,96.22
383,9,198,186,6.06,Jūrės,51.7,12,93.94
330,9,188,179,4.79,Radiškės,56.97,9,95.21
581,,256,252,1.56,Plutiškių,44.06,4,98.44
344,,175,162,7.43,Salaperaugio,50.87,13,92.57
908,1,415,391,5.78,Ąžuolų Būdos,45.7,24,94.22
488,1,224,216,3.57,Puodžių,45.9,8,96.43
571,2,291,282,3.09,Žilinų,50.96,9,96.91
548,3,278,266,4.32,Dubičių,50.73,12,95.68
547,4,245,226,7.76,Panočių,44.79,19,92.24
285,5,160,148,7.5,Kabelių,56.14,12,92.5
1299,1,779,743,4.62,Mastaičių,59.97,36,95.38
709,2,315,294,6.67,Pažėrų,44.43,21,93.33
741,3,333,318,4.5,Juragių,44.94,15,95.5
1137,4,577,551,4.51,Ilgakiemio,50.75,26,95.49
2758,5,1610,1548,3.85,Teleičių,58.38,62,96.15
2517,1,1434,1359,5.23,Vilkaviškio  rytų,56.97,75,94.77
2441,2,1333,1300,2.48,Vilkaviškio pietų,54.61,33,97.52
1984,3,1088,1051,3.4,Vilkaviškio vakarų,54.84,37,96.6
3033,4,1667,1604,3.78,Vilkaviškio šiaurės,54.96,63,96.22
2346,5,1051,1001,4.76,Kybartų rytų,44.8,50,95.24
2249,6,1062,993,6.5,Kybartų vakarų,47.22,69,93.5
766,2,402,388,3.48,Praniūnų,52.48,14,96.52
384,3,193,185,4.15,Genių,50.26,8,95.85
1299,4,737,717,2.71,Miklusėnų,56.74,20,97.29
1144,5,609,591,2.96,Santaikos,53.23,18,97.04
633,6,366,353,3.55,Luksnėnų,57.82,13,96.45
637,,334,313,6.29,Slavikų,52.43,21,93.71
541,1,229,217,5.24,Gotlybiškių,42.33,12,94.76
543,3,222,212,4.5,Išdagų,40.88,10,95.5
849,4,417,381,8.63,Giedručių,49.12,36,91.37
358,5,160,156,2.5,Ritinių,44.69,4,97.5
967,6,519,499,3.85,Girėnų,53.67,20,96.15
499,7,226,219,3.1,Briedžių,45.29,7,96.9
347,1,176,171,2.84,Liubavo,50.72,5,97.16
304,2,128,124,3.12,Brazavo,42.11,4,96.88
414,2,165,151,8.48,Bebruliškės,39.86,14,91.52
413,3,175,166,5.14,Būdos,42.37,9,94.86
325,3,147,136,7.48,Jurgežerių,45.23,11,92.52
586,4,308,294,4.55,Jankų,52.56,14,95.45
336,4,159,150,5.66,Tarprubežių,47.32,9,94.34
324,5,149,143,4.03,Akmenynų,45.99,6,95.97
548,6,317,305,3.79,Marcinkonių,57.85,12,96.21
233,7,134,126,5.97,Margionių,57.51,8,94.03
120,8,77,75,2.6,Puvočių,64.17,2,97.4
122,9,71,65,8.45,Žiūrų,58.2,6,91.55
476,,177,174,1.69,Krūminių,37.18,3,98.31
826,,468,449,4.06,Butrimonių,56.66,19,95.94
1285,1,634,594,6.31,Matuizų,49.34,40,93.69
451,1,296,275,7.09,Jančiūnų,65.63,21,92.91
2711,6,1388,1330,4.18,Karmėlavos,51.2,58,95.82
2596,7,1526,1456,4.59,Ramučių,58.78,70,95.41
2693,8,1429,1375,3.78,Neveronių,53.06,54,96.22
1241,9,741,717,3.24,Universiteto,59.71,24,96.76
1524,,1097,1052,4.1,Akademijos,71.98,45,95.9
3271,1,1938,1854,4.33,Ringaudų,59.25,84,95.67
841,6,344,333,3.2,Nemuno,40.9,11,96.8
947,7,506,469,7.31,Virbalio,53.43,37,92.69
153,8,71,69,2.82,Rimavičių,46.41,2,97.18
543,9,220,211,4.09,Bartninkų,40.52,9,95.91
573,,249,242,2.81,Lakštučių,43.46,7,97.19
381,1,169,163,3.55,Pašeimenių,44.36,6,96.45
307,2,132,123,6.82,Piliakalnių,43.0,9,93.18
662,3,349,331,5.16,Gižų,52.72,18,94.84
440,4,224,219,2.23,Bačkiškių,50.91,5,97.77
3165,6,1741,1664,4.42,Kolegijos,55.01,77,95.58
1278,8,601,586,2.5,Geištarų,47.03,15,97.5
1354,9,635,611,3.78,Miroslavo,46.9,24,96.22
2132,2,1139,1075,5.62,Putinų,53.42,64,94.38
431,2,238,219,7.98,Parėčėnų,55.22,19,92.02
144,3,110,107,2.73,Papėčių,76.39,3,97.27
2226,3,1177,1102,6.37,Šaltinių,52.88,75,93.63
951,1,456,432,5.26,Viešvilės,47.95,24,94.74
1232,2,586,555,5.29,Smalininkų,47.56,31,94.71
1523,3,710,683,3.8,Jurbarkų,46.62,27,96.2
595,4,330,321,2.73,Rotulių,55.46,9,97.27
629,5,269,256,4.83,Žindaičių,42.77,13,95.17
573,6,294,282,4.08,Eržvilko,51.31,12,95.92
1527,8,833,798,4.2,Kudirkos Naumiesčio,54.55,35,95.8
267,3,150,143,4.67,Slabadų,56.18,7,95.33
351,6,178,163,8.43,Kampinių,50.71,15,91.57
1399,6,552,518,6.16,Mokolų kaimo,39.46,34,93.84
345,7,204,180,11.76,Aistiškių,59.13,24,88.24
809,7,330,316,4.24,Šunskų,40.79,14,95.76
911,8,399,394,1.25,Sasnavos,43.8,5,98.75
707,9,323,301,6.81,Puskelnių,45.69,22,93.19
463,,175,172,1.71,Smilgių,37.8,3,98.29
1263,1,568,548,3.52,Baraginės,44.97,20,96.48
2309,2,1310,1219,6.95,Eišiškių,56.73,91,93.05
239,3,83,76,8.43,Gudakiemio,34.73,7,91.57
634,3,386,368,4.66,Jurzdikos,60.88,18,95.34
678,4,362,331,8.56,Gornostajiškių,53.39,31,91.44
292,4,152,143,5.92,Kibyšių,52.05,9,94.08
1019,5,604,571,5.46,Kalesninkų,59.27,33,94.54
1387,5,772,742,3.89,Merkinės,55.66,30,96.11
1864,8,867,813,6.23,Šlienavos,46.51,54,93.77
1948,9,954,921,3.46,Girionių,48.97,33,96.54
1560,,809,772,4.57,Taurakiemio,51.86,37,95.43
1457,8,820,767,6.46,Zapyškio,56.28,53,93.54
732,9,335,321,4.18,Altoniškių,45.77,14,95.82
1498,,786,740,5.85,Ežerėlio,52.47,46,94.15
1854,1,1049,1010,3.72,Garliavos,56.58,39,96.28
2067,2,1221,1168,4.34,Liepų,59.07,53,95.66
659,5,252,240,4.76,Karklinių,38.24,12,95.24
380,6,195,186,4.62,Keturvalakių,51.32,9,95.38
630,7,294,262,10.88,Gudkaimio,46.67,32,89.12
333,8,136,130,4.41,Lauckaimio,40.84,6,95.59
655,9,359,341,5.01,Matlaukio,54.81,18,94.99
338,,150,143,4.67,Šiaudiniškių,44.38,7,95.33
160,1,104,104,,Vilkupių,65.0,,100.0
1317,4,524,503,4.01,Ūdrijos,39.79,21,95.99
516,4,269,262,2.6,Kumečių,52.13,7,97.4
491,5,258,248,3.88,Vankiškių,52.55,10,96.12
1669,5,866,841,2.89,Alytaus dujų ūkio,51.89,25,97.11
1426,6,780,735,5.77,Simno,54.7,45,94.23
1482,6,622,584,6.11,Pramonės,41.97,38,93.89
454,7,235,218,7.23,Mergalaukio,51.76,17,92.77
392,8,190,179,5.79,Kalesninkų,48.47,11,94.21
348,7,194,185,4.64,Pašaltuonio,55.75,9,95.36
558,8,309,301,2.59,Lybiškių,55.38,8,97.41
433,9,203,194,4.43,Kartupių,46.88,9,95.57
343,,158,148,6.33,Rutkiškių,46.06,10,93.67
363,1,164,151,7.93,Pavidaujo,45.18,13,92.07
742,2,323,300,7.12,Girdžių,43.53,23,92.88
766,3,325,316,2.77,Vadžgirio,42.43,9,97.23
367,4,216,199,7.87,Šimkaičių,58.86,17,92.13
1622,1,892,850,4.71,S.Daukanto,54.99,42,95.29
1255,2,735,705,4.08,Anykščių,58.57,30,95.92
1804,3,1040,999,3.94,Maironio,57.65,41,96.06
926,4,543,527,2.95,J.Basanavičiaus,58.64,16,97.05
996,5,533,514,3.56,Vytauto,53.51,19,96.44
1150,2,492,469,4.67,Patašinės,42.78,23,95.33
428,3,162,153,5.56,Igliškėlių,37.85,9,94.44
1062,4,449,423,5.79,Igliaukos,42.28,26,94.21
398,5,192,186,3.12,Šventragio,48.24,6,96.88
612,6,263,255,3.04,Gudelių,42.97,8,96.96
263,7,101,100,0.99,Daugirdų,38.4,1,99.01
268,8,134,127,5.22,Daukšių,50.0,7,94.78
247,6,120,110,8.33,Panaros,48.58,10,91.67
698,6,429,403,6.06,Purvėnų,61.46,26,93.94
759,7,508,468,7.87,Dainavos,66.93,40,92.13
416,7,219,206,5.94,Vilkiautinio,52.64,13,94.06
728,8,491,472,3.87,Pabarės,67.45,19,96.13
387,8,191,185,3.14,Pilvingių,49.35,6,96.86
449,9,249,239,4.02,Tetėnų,55.46,10,95.98
214,4,84,73,13.1,Daržininkų,39.25,11,86.9
1526,3,856,803,6.19,Jonučių,56.09,53,93.81
640,4,412,399,3.16,Kačerginės,64.38,13,96.84
569,7,321,296,7.79,Linksmakalnio,56.41,25,92.21
1770,9,1055,998,5.4,Meno mokyklos,59.6,57,94.6
1661,2,955,909,4.82,Bibliotekos,57.5,46,95.18
1996,3,1064,1014,4.7,S. Lozoraičio,53.31,50,95.3
630,2,291,277,4.81,Virbalio kaimiškoji,46.19,14,95.19
624,4,309,299,3.24,Klausučių,49.52,10,96.76
481,6,168,166,1.19,Karalkrėslio,34.93,2,98.81
807,7,358,342,4.47,Pajevonio,44.36,16,95.53
413,8,167,160,4.19,Alksnėnų,40.44,7,95.81
286,9,109,105,3.67,Opšrūtų,38.11,4,96.33
